Id,Response
4,0
6,0
7,0
9,0
11,0
13,0
14,0
16,0
18,0
23,0
26,0
27,0
28,0
31,0
34,0
38,0
41,0
44,0
47,0
49,0
52,0
55,0
56,0
57,0
63,0
68,0
70,0
71,0
72,0
73,0
75,0
76,0
78,0
79,0
81,0
82,0
84,0
86,0
87,0
88,0
91,0
92,0
93,0
95,0
96,0
97,0
98,0
99,0
102,0
103,0
104,0
106,0
107,0
112,0
115,0
116,0
118,0
120,0
122,0
123,0
124,0
125,0
126,0
127,0
131,0
135,0
136,0
137,0
140,0
142,0
145,0
146,0
152,0
153,0
156,0
159,0
160,0
162,0
163,0
165,0
166,0
169,0
174,0
175,0
176,0
177,0
179,0
181,0
183,0
184,0
185,0
187,0
188,0
190,0
191,0
192,0
197,0
200,0
201,0
205,0
206,0
208,0
209,0
216,0
221,0
223,0
226,0
229,0
232,0
235,0
237,0
240,0
242,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
254,0
255,0
256,0
257,0
258,0
259,0
261,0
264,0
265,0
268,0
269,0
277,0
280,0
282,0
284,0
285,0
286,0
287,0
288,0
290,0
292,0
293,0
295,0
297,0
303,0
304,0
307,0
308,0
309,0
312,0
314,0
315,0
316,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
327,0
328,0
330,0
332,0
335,0
336,0
337,0
339,0
342,0
343,0
344,0
347,0
351,0
352,0
353,0
355,0
359,0
361,0
362,0
363,0
364,0
365,0
366,0
368,0
372,0
374,0
376,0
377,0
379,0
382,0
383,0
384,0
387,0
388,0
389,0
390,0
391,0
396,0
399,0
400,0
401,0
403,0
404,0
405,0
406,0
407,0
409,0
410,0
412,0
416,0
421,0
424,0
425,0
427,0
428,0
429,0
430,0
431,0
434,0
435,0
436,0
439,0
440,0
441,0
442,0
444,0
445,0
450,0
451,0
452,0
456,0
457,0
459,0
463,0
464,0
466,0
469,0
470,0
471,0
472,0
473,0
476,0
477,0
478,0
479,0
484,0
486,0
487,0
488,0
491,0
492,0
493,0
494,0
495,0
496,0
499,0
500,0
502,0
503,0
504,0
505,0
508,0
510,0
511,0
515,0
516,0
517,0
518,0
519,0
520,0
522,0
523,0
524,0
525,0
527,0
532,0
533,0
534,0
538,0
540,0
541,0
544,0
545,0
547,0
550,0
553,0
555,0
558,0
560,0
561,0
562,0
564,0
565,0
567,0
570,0
571,0
573,0
575,0
576,0
580,0
581,0
584,0
585,0
586,0
587,0
588,0
589,0
594,0
597,0
599,0
601,0
602,0
603,0
604,0
605,0
607,0
609,0
610,0
612,0
613,0
614,0
616,0
618,0
620,0
621,0
625,0
629,0
631,0
632,0
633,0
637,0
638,0
641,0
643,0
645,0
649,0
650,0
652,0
654,0
656,0
662,0
664,0
668,0
669,0
671,0
673,0
674,0
675,0
676,0
678,0
681,0
682,0
684,0
685,0
691,0
692,0
693,0
694,0
695,0
697,0
701,0
702,0
704,0
709,0
712,0
713,0
717,0
718,0
723,0
724,0
725,0
726,0
727,0
729,0
730,0
731,0
734,0
735,0
736,0
738,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
753,0
754,0
755,0
756,0
757,0
759,0
760,0
761,0
763,0
764,0
766,0
767,0
771,0
772,0
775,0
776,0
777,0
779,0
780,0
783,0
784,0
785,0
789,0
792,0
796,0
797,0
800,0
801,0
803,0
808,0
810,0
811,0
813,0
818,0
821,0
823,0
824,0
825,0
826,0
827,0
831,0
832,0
834,0
835,0
842,0
843,0
844,0
845,0
851,0
852,0
855,0
859,0
860,0
861,0
862,0
865,0
867,0
869,0
870,0
871,0
872,0
873,0
874,0
879,0
882,0
883,0
885,0
887,0
890,0
891,0
892,0
893,0
896,0
899,0
901,0
902,0
903,0
904,0
905,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
916,0
917,0
919,0
920,0
925,0
926,0
928,0
929,0
934,0
938,0
939,0
940,0
941,0
942,0
944,0
945,0
947,0
